City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
141,Rawson,AR,65.8,clear sky,-43.3,-65.11,Hospedaje Sampedro
142,Chemainus,CA,46.0,overcast clouds,48.92,-123.72,Fuller Lake Motel
143,Nazareno,MX,51.04,light rain,25.4,-103.42,Palmas Suite
144,Superior,US,41.0,clear sky,39.95,-105.17,Hampton Inn Boulder/Louisville
149,Barranca,PE,69.22,broken clouds,-10.75,-77.76,El Olivar Hospedaje
150,Codrington,AU,89.6,clear sky,-28.95,153.24,
151,Quzhou,CN,55.18,broken clouds,28.97,118.86,Quzhou Jiujiu Business Hotel
152,Umm Kaddadah,SD,68.5,scattered clouds,13.6,26.69,
153,Hithadhoo,MV,83.62,light rain,-0.6,73.08,Scoop Guest House
154,Misratah,LY,59.14,scattered clouds,32.38,15.09,فندق الماسة
155,Penzance,GB,51.01,scattered clouds,50.12,-5.53,Artist Residence Penzance
156,Airai,TL,76.24,moderate rain,-8.93,125.41,Juvinal Martin
157,Ronne,FR,46.4,drizzle,48.45,0.83,Côté Parc
158,Vallenar,CL,54.64,clear sky,-28.58,-70.76,Humacao Bed & Breakfast
159,Monitos,CO,71.2,broken clouds,8.25,-76.05,Finca Aleman Gonzalez
160,Vila Franca Do Campo,PT,53.6,few clouds,37.72,-25.43,Pestana Bahia Praia
161,Porto Novo,BR,69.8,broken clouds,-23.68,-45.44,Harmonia
162,Viedma,AR,59.86,clear sky,-40.81,-62.99,Hotel casa crespo
163,Kahului,US,73.4,moderate rain,20.89,-156.47,Maui Seaside Hotel
167,Georgetown,GY,71.6,few clouds,6.8,-58.16,Kanhai's Center
170,Kathu,ZA,79.0,clear sky,-27.7,23.05,Carlandre
171,Barabai,ID,86.14,moderate rain,-2.59,115.38,"Hotel Q Inn, Barabai"
172,Skogn,NO,42.01,broken clouds,63.7,11.19,Rinelven
173,Kruisfontein,ZA,68.86,few clouds,-34.0,24.73,Oyster Bay House Rental
176,Vyartsilya,RU,37.36,overcast clouds,62.18,30.69,Hotelli Joki
177,Broken Hill,AU,93.2,clear sky,-31.97,141.45,Royal Exchange Hotel
178,Nelson Bay,AU,73.4,overcast clouds,-32.72,152.14,Mantra Nelson Bay
179,Puerto Ayacucho,CO,71.74,overcast clouds,5.66,-67.63,Posada Turistica Manapiare
180,Porto Franco,BR,71.56,heavy intensity rain,-6.34,-47.4,Saint Louis Hotel
181,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
182,Galle,GN,64.18,few clouds,10.08,-12.83,LES EAUX DE KILISSI
183,Touros,BR,75.2,light rain,-5.2,-35.46,INN NEW HORIZON
