City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3hours),Snow Inches (last 3hours)
69,Dale,CN,2020-01-02 06:34:48,24.09,109.99,65.98,71,92,4.68,overcast clouds,0.0,0.0
70,Avarua,CK,2020-01-02 06:34:49,-21.21,-159.78,77.0,83,84,10.29,broken clouds,0.0,0.0
71,Vila Velha,BR,2020-01-02 06:34:49,-3.71,-38.6,86.0,83,20,3.36,few clouds,0.0,0.0
72,Ugoofaaru,MV,2020-01-02 06:34:49,5.67,73.0,82.18,79,51,14.05,light rain,0.25,0.0
73,Zonguldak,TR,2020-01-02 06:34:49,41.25,31.83,33.8,100,40,1.12,scattered clouds,0.0,0.0
74,Puerto Escondido,MX,2020-01-02 06:34:50,15.86,-97.07,75.2,73,5,3.29,clear sky,0.0,0.0
75,Kavieng,PG,2020-01-02 06:34:50,-2.57,150.8,84.7,69,87,4.36,light rain,1.5,0.0
76,Launceston,AU,2020-01-02 06:34:32,-41.43,147.14,75.2,36,93,17.22,overcast clouds,0.0,0.0
77,Coquimbo,CL,2020-01-02 06:34:51,-29.95,-71.34,59.0,87,90,5.82,overcast clouds,0.0,0.0
78,Usinsk,RU,2020-01-02 06:34:51,66.0,57.56,6.04,95,100,12.15,light snow,0.0,0.38
79,Waipawa,NZ,2020-01-02 06:34:51,-39.94,176.59,73.0,58,24,7.0,few clouds,0.0,0.0
80,Castro,CL,2020-01-02 06:34:51,-42.48,-73.76,53.6,76,2,3.36,clear sky,0.0,0.0
81,Katsuura,JP,2020-01-02 06:34:52,33.93,134.5,53.6,50,20,12.75,few clouds,0.0,0.0
82,Tasiilaq,GL,2020-01-02 06:34:52,65.61,-37.64,10.4,51,26,23.04,scattered clouds,0.0,0.0
83,Novyy Urengoy,RU,2020-01-02 06:34:52,66.08,76.63,-6.02,97,49,8.41,scattered clouds,0.0,0.0
84,Matara,BI,2020-01-02 06:34:52,-3.48,29.48,64.36,85,100,2.91,overcast clouds,0.0,0.0
85,Longyearbyen,NO,2020-01-02 06:34:53,78.22,15.63,8.6,50,40,13.87,scattered clouds,0.0,0.0
86,Tuktoyaktuk,CA,2020-01-02 06:34:53,69.44,-133.03,-7.6,76,90,17.22,light snow,0.0,0.0
87,Muscat,OM,2020-01-02 06:33:27,23.6,58.55,77.0,50,51,3.36,broken clouds,0.0,0.0
88,Port Elizabeth,US,2020-01-02 06:34:53,39.31,-74.98,32.0,92,1,5.1,clear sky,0.0,0.0
89,Walla Walla,US,2020-01-02 06:30:20,46.06,-118.33,50.0,70,40,14.99,scattered clouds,0.0,0.0
90,San Cristobal,HN,2020-01-02 06:34:54,14.68,-86.92,64.9,92,39,5.17,light rain,0.13,0.0
